Id,SessionId,UserId,Variant,EventType,PageName,TargetType,TargetId,OldValue,NewValue,MetadataJson,Timestamp
1,4a238f1f-6a30-402d-a5fa-825fb8ef7866,6f93687d-542d-42aa-9495-bb579b2a193e,Dark,LoginSuccess,Login,Form,login-form,,,{},2026-05-24 11:30:35.018574+00
2,4a238f1f-6a30-402d-a5fa-825fb8ef7866,6f93687d-542d-42aa-9495-bb579b2a193e,Dark,HomeViewed,Home,Page,HomeIndex,,,{},2026-05-24 11:30:37.123072+00
3,4a238f1f-6a30-402d-a5fa-825fb8ef7866,6f93687d-542d-42aa-9495-bb579b2a193e,Dark,PageViewed,Events,Page,EventsIndex,,,"{""source"": ""navigation""}",2026-05-24 11:30:50.286483+00
4,4a238f1f-6a30-402d-a5fa-825fb8ef7866,6f93687d-542d-42aa-9495-bb579b2a193e,Dark,PageViewed,EventDetails,Event,102,,,"{""eventName"": ""Spania vs Franta""}",2026-05-24 11:31:01.048301+00
5,4a238f1f-6a30-402d-a5fa-825fb8ef7866,6f93687d-542d-42aa-9495-bb579b2a193e,Dark,OddsViewed,EventDetails,Odds,102,,,"{""eventName"": ""Spania vs Franta"", ""marketName"": ""Rezultat final""}",2026-05-24 11:31:06.089374+00
6,4a238f1f-6a30-402d-a5fa-825fb8ef7866,6f93687d-542d-42aa-9495-bb579b2a193e,Dark,PageViewed,Events,Page,EventsIndex,,,"{""source"": ""navigation""}",2026-05-24 11:31:18.587827+00
7,4a238f1f-6a30-402d-a5fa-825fb8ef7866,6f93687d-542d-42aa-9495-bb579b2a193e,Dark,PageViewed,Events,Page,EventsIndex,,,"{""source"": ""navigation""}",2026-05-24 11:31:34.747318+00
8,4a238f1f-6a30-402d-a5fa-825fb8ef7866,6f93687d-542d-42aa-9495-bb579b2a193e,Dark,PageViewed,EventDetails,Event,102,,,"{""eventName"": ""Spania vs Franta""}",2026-05-24 11:31:46.680626+00
9,4a238f1f-6a30-402d-a5fa-825fb8ef7866,6f93687d-542d-42aa-9495-bb579b2a193e,Dark,OddsViewed,EventDetails,Odds,102,,,"{""eventName"": ""Spania vs Franta"", ""marketName"": ""Rezultat final""}",2026-05-24 11:32:00.795671+00
10,4a238f1f-6a30-402d-a5fa-825fb8ef7866,6f93687d-542d-42aa-9495-bb579b2a193e,Dark,Logout,Home,Button,logout-btn,,,{},2026-05-24 11:32:05.761804+00
