Variant,UserId,SessionId,casino_spins,bet_placed,stake_changed,bc_cancelled,first_ts,total_actions,State
Dark,0192cc80-656c-46f4-a092-118f895b5162,42268c7f-79c4-47ab-9ddc-65837c313eea,0,2,4,0,2026-05-15 19:06:56.872312+00:00,2,Scăzut
Dark,0192cc80-656c-46f4-a092-118f895b5162,7ad93564-de73-4b02-993a-1d5cef0b45cb,0,1,2,0,2026-05-17 21:30:33.149959+00:00,1,Scăzut
Dark,0192cc80-656c-46f4-a092-118f895b5162,7192c335-d66e-45e6-8bd9-7b762d4de9df,0,3,4,0,2026-05-19 08:09:42.458933+00:00,3,Moderat
Dark,0192cc80-656c-46f4-a092-118f895b5162,2397bd18-95b7-4197-bb4d-a7dd2a34ac36,0,3,4,0,2026-05-19 22:01:32.938863+00:00,3,Moderat
Ethical,0192cc80-656c-46f4-a092-118f895b5162,a2fa7c5c-9c63-40d2-95de-8bce015ba92f,0,2,6,1,2026-05-25 21:25:53.335844+00:00,2,Scăzut
Ethical,0192cc80-656c-46f4-a092-118f895b5162,af118b90-c31a-44f4-96e3-e1fb95900831,0,4,8,0,2026-05-28 21:59:11.730859+00:00,4,Moderat
Ethical,0192cc80-656c-46f4-a092-118f895b5162,b0602c38-8946-42ff-8dab-e426ee7e8ee1,0,1,2,0,2026-05-29 19:00:46.354109+00:00,1,Scăzut
Ethical,0192cc80-656c-46f4-a092-118f895b5162,f677d23f-c5da-457e-8082-d75f40e90fe9,0,2,4,0,2026-05-29 20:31:44.014794+00:00,2,Scăzut
Ethical,0192cc80-656c-46f4-a092-118f895b5162,99db1141-5e4a-4a8f-976f-8ae6b395fe7a,0,1,2,0,2026-05-30 11:37:52.235907+00:00,1,Scăzut
Dark,223f3159-6beb-4f7e-a535-707daa1a2f44,a2a990fc-78bb-4aa0-9f06-f03f5a50284d,15,4,8,0,2026-05-25 15:04:27.156483+00:00,19,Intens
Dark,223f3159-6beb-4f7e-a535-707daa1a2f44,efb80b80-a140-47f1-9e3f-4938e608f2a2,21,0,0,0,2026-05-25 18:19:48.411150+00:00,21,Intens
Dark,223f3159-6beb-4f7e-a535-707daa1a2f44,15fcb91a-4e07-4891-82fe-6f1a1f115f24,14,1,2,0,2026-05-26 19:17:40.033406+00:00,15,Ridicat
Dark,223f3159-6beb-4f7e-a535-707daa1a2f44,bf106eb3-f3ad-42f0-8126-509595bb7b3d,49,5,6,0,2026-05-27 17:40:03.209908+00:00,54,Intens
Dark,223f3159-6beb-4f7e-a535-707daa1a2f44,5537ad8c-a73d-4c37-b072-863c5f89d73e,47,1,0,0,2026-05-27 21:24:52.107984+00:00,48,Intens
Dark,223f3159-6beb-4f7e-a535-707daa1a2f44,285a6f88-63c1-4331-80fd-0fb2a4db2fd7,15,0,0,0,2026-05-28 22:20:44.774684+00:00,15,Ridicat
