UserId,Variant,TotalEvents,ActiveDays,SessionCount,BetsPlaced,BetAttempts,OutcomeSelections,CasinoSpins,NearMissCount,PageViews,OutcomeRemovedCount,ConfirmCancelled,Deposits,ClusterID,ClusterName
0192cc80-656c-46f4-a092-118f895b5162,Dark,93,3,4,9,9,15,0,0,32,0,0,0,4,Recreational
0192cc80-656c-46f4-a092-118f895b5162,Ethical,129,4,5,10,11,19,0,0,37,0,1,0,4,Recreational
223f3159-6beb-4f7e-a535-707daa1a2f44,Dark,472,4,6,11,11,21,161,24,35,0,0,0,1,Highly Engaged
223f3159-6beb-4f7e-a535-707daa1a2f44,Ethical,169,4,5,8,11,16,19,0,40,0,3,1,4,Recreational
27449488-f645-4afb-8574-6a2a866b48f4,Dark,229,5,5,9,9,15,61,8,25,0,0,1,1,Highly Engaged
27449488-f645-4afb-8574-6a2a866b48f4,Ethical,27,1,1,1,1,1,4,0,4,0,0,1,3,Prudent
36aaad1d-8604-4a99-a4a7-f03b15e839df,Dark,107,3,4,1,1,1,34,6,11,0,0,0,3,Prudent
36aaad1d-8604-4a99-a4a7-f03b15e839df,Ethical,95,5,7,6,6,10,0,0,31,0,0,1,4,Recreational
36e9cf9e-9437-4894-9ae5-595d95117bc1,Dark,55,2,2,2,2,3,12,0,8,0,0,0,3,Prudent
36e9cf9e-9437-4894-9ae5-595d95117bc1,Ethical,147,4,5,11,12,21,0,0,44,0,1,1,4,Recreational
3d2fb460-6aa3-4d4a-b52c-880aa756dda1,Dark,172,3,3,13,13,22,23,3,36,0,0,0,4,Recreational
3d2fb460-6aa3-4d4a-b52c-880aa756dda1,Ethical,240,6,12,14,16,21,20,0,48,0,2,2,2,Engaged
3db6425f-73e7-4f7f-ab88-1134e097fd5b,Dark,296,5,8,19,19,38,46,12,58,0,0,1,2,Engaged
3db6425f-73e7-4f7f-ab88-1134e097fd5b,Ethical,92,4,5,4,4,5,10,0,22,0,0,0,3,Prudent
4500baff-cb06-46d3-ba87-68cc617bde5f,Dark,137,3,3,6,6,10,37,5,17,0,0,0,3,Prudent
4500baff-cb06-46d3-ba87-68cc617bde5f,Ethical,283,5,9,24,24,32,10,0,84,0,0,0,2,Engaged
5717abd6-5f8a-465f-a412-2a5bfa11c564,Dark,43,1,1,4,4,8,0,0,15,0,0,0,3,Prudent
5717abd6-5f8a-465f-a412-2a5bfa11c564,Ethical,43,3,3,2,3,4,3,0,12,0,1,0,3,Prudent
5be41bbb-503a-4a8c-a513-682f63de00a5,Dark,45,2,2,2,2,2,11,1,5,0,0,0,3,Prudent
5be41bbb-503a-4a8c-a513-682f63de00a5,Ethical,50,2,3,3,3,5,0,0,18,0,0,0,3,Prudent
