UserId,VariantW1,VariantW2,Group,BettingActions_W1,CasinoActions_W1,FinancialActions_W1,DarkPatternActions_W1,TotalCoreGamblingActions_W1,BettingActions_W2,CasinoActions_W2,FinancialActions_W2,DarkPatternActions_W2,TotalCoreGamblingActions_W2,BettingActions_Dark,BettingActions_Ethical,CasinoActions_Dark,CasinoActions_Ethical,FinancialActions_Dark,FinancialActions_Ethical,DarkPatternActions_Dark,DarkPatternActions_Ethical,TotalCoreGamblingActions_Dark,TotalCoreGamblingActions_Ethical
0192cc80-656c-46f4-a092-118f895b5162,Dark,Ethical,A,47.0,1,1.0,0.0,48.0,62,1.0,1.0,0.0,63.0,47.0,62.0,1.0,1.0,1.0,1.0,0.0,0.0,48.0,63.0
36e9cf9e-9437-4894-9ae5-595d95117bc1,Dark,Ethical,A,11.0,27,0.0,0.0,38.0,68,1.0,2.0,0.0,69.0,11.0,68.0,27.0,1.0,0.0,2.0,0.0,0.0,38.0,69.0
3d2fb460-6aa3-4d4a-b52c-880aa756dda1,Dark,Ethical,A,66.0,48,1.0,3.0,114.0,83,42.0,5.0,0.0,125.0,66.0,83.0,48.0,42.0,1.0,5.0,3.0,0.0,114.0,125.0
4500baff-cb06-46d3-ba87-68cc617bde5f,Dark,Ethical,A,24.0,77,0.0,5.0,101.0,128,21.0,1.0,0.0,149.0,24.0,128.0,77.0,21.0,0.0,1.0,5.0,0.0,101.0,149.0
5717abd6-5f8a-465f-a412-2a5bfa11c564,Dark,Ethical,A,22.0,1,0.0,0.0,23.0,15,6.0,0.0,0.0,21.0,22.0,15.0,1.0,6.0,0.0,0.0,0.0,0.0,23.0,21.0
6b0900c8-6e37-4b5e-82cb-0a054540c6c3,Dark,Ethical,A,80.0,261,2.0,37.0,341.0,17,0.0,0.0,0.0,17.0,80.0,17.0,261.0,0.0,2.0,0.0,37.0,0.0,341.0,17.0
6dbe7567-822c-4848-8772-826ffb43a6a0,Dark,Ethical,A,96.0,284,3.0,23.0,380.0,25,62.0,1.0,0.0,87.0,96.0,25.0,284.0,62.0,3.0,1.0,23.0,0.0,380.0,87.0
707a0648-f3ca-4d06-9b48-dab8e2a8b5af,Dark,Ethical,A,151.0,547,2.0,29.0,698.0,117,103.0,7.0,0.0,220.0,151.0,117.0,547.0,103.0,2.0,7.0,29.0,0.0,698.0,220.0
72d999af-07ec-4415-974c-abf642c86538,Dark,Ethical,A,65.0,197,4.0,20.0,262.0,65,29.0,0.0,0.0,94.0,65.0,65.0,197.0,29.0,4.0,0.0,20.0,0.0,262.0,94.0
786b63d8-fe84-4031-90a0-ae201c76a678,Dark,Ethical,A,112.0,190,2.0,26.0,302.0,27,10.0,2.0,0.0,37.0,112.0,27.0,190.0,10.0,2.0,2.0,26.0,0.0,302.0,37.0
