UserId,Group,TotalStake_Dark,AvgStake_Dark,NumBets_Dark,TotalStake_Eth,AvgStake_Eth,NumBets_Eth
0192cc80-656c-46f4-a092-118f895b5162,A,282.0,31.33,9,119.0,11.9,10
36e9cf9e-9437-4894-9ae5-595d95117bc1,A,30.0,15.0,2,204.0,18.55,11
3d2fb460-6aa3-4d4a-b52c-880aa756dda1,A,502.0,38.62,13,197.0,14.07,14
4500baff-cb06-46d3-ba87-68cc617bde5f,A,170.0,28.33,6,446.0,18.58,24
5717abd6-5f8a-465f-a412-2a5bfa11c564,A,129.0,32.25,4,63.0,31.5,2
6b0900c8-6e37-4b5e-82cb-0a054540c6c3,A,467.0,27.47,17,113.0,37.67,3
6dbe7567-822c-4848-8772-826ffb43a6a0,A,787.0,46.29,17,244.0,48.8,5
707a0648-f3ca-4d06-9b48-dab8e2a8b5af,A,1203.0,37.59,32,584.0,29.2,20
72d999af-07ec-4415-974c-abf642c86538,A,328.0,27.33,12,249.0,20.75,12
786b63d8-fe84-4031-90a0-ae201c76a678,A,926.0,44.1,21,76.0,19.0,4
7def8a4d-8255-48b8-886f-191aec185e55,A,133.0,22.17,6,143.0,17.88,8
86bc0ab8-10fd-4530-a85f-e9692caa6516,A,220.0,31.43,7,293.0,24.42,12
9ad14b84-d581-426b-967c-9359c7b533f7,A,790.0,43.89,18,346.0,26.62,13
a7f1c0d2-9e34-4b88-8c21-0fd6b2e54a90,A,520.0,30.59,17,256.0,28.44,9
b9119b29-1ad9-4429-a3d5-576d7e597947,A,773.0,42.94,18,326.0,32.6,10
c99842c8-51e7-420e-b187-6cd2bbbd2242,A,360.0,27.69,13,194.0,32.33,6
e53f6300-8b8a-4b7d-9acc-007b67a1a6bc,A,440.0,20.0,22,62.0,10.33,6
ee0da921-8d1f-4bfa-bef0-375bda8d63b6,A,970.0,35.93,27,166.0,23.71,7
fda732af-1a91-41d6-b91e-15ee3098151f,A,179.0,35.8,5,135.0,33.75,4
223f3159-6beb-4f7e-a535-707daa1a2f44,B,757.0,68.82,11,176.0,22.0,8
27449488-f645-4afb-8574-6a2a866b48f4,B,190.0,21.11,9,75.0,75.0,1
36aaad1d-8604-4a99-a4a7-f03b15e839df,B,15.0,15.0,1,97.0,16.17,6
3db6425f-73e7-4f7f-ab88-1134e097fd5b,B,703.0,37.0,19,126.0,31.5,4
5be41bbb-503a-4a8c-a513-682f63de00a5,B,70.0,35.0,2,28.0,9.33,3
6256d4b2-a7ef-479a-9793-0c1735f25e85,B,77.0,38.5,2,24.0,12.0,2
6f93687d-542d-42aa-9495-bb579b2a193e,B,100.0,25.0,4,9.0,9.0,1
7ae04994-1f9b-4233-9c51-0cee3bf1320c,B,255.0,18.21,14,19.0,19.0,1
7fb7c051-b362-40f7-8efa-2f2a7dc6206a,B,944.0,59.0,16,262.0,21.83,12
8777ceeb-c0fe-4f78-8e86-dd5428507c32,B,549.0,49.91,11,17.0,17.0,1
8d479225-84cc-4d0f-b3e6-3f61a2764b26,B,234.0,26.0,9,101.0,11.22,9
8df5a4ae-de1e-4a38-a512-df8910505396,B,1367.0,56.96,24,56.0,14.0,4
a040f35e-2eff-400f-bcd2-ac2f4611e6da,B,236.0,26.22,9,113.0,22.6,5
c8171d1d-2e75-491c-be09-34bf9df581ff,B,310.0,31.0,10,210.0,23.33,9
c8e5acc0-ddb4-478d-ad73-5654826e7355,B,133.0,22.17,6,233.0,29.12,8
d6692bfa-902b-4f99-997c-e8e794a36d21,B,200.0,33.33,6,85.0,21.25,4
e0ce78ab-5c37-4015-a43e-0327eca7d411,B,177.0,25.29,7,120.0,24.0,5
e325cae0-ec05-405b-b39e-9d316f5a4c15,B,1468.0,54.37,27,562.0,31.22,18
e7e0cf4f-0487-427f-9edd-f5f7427b1058,B,42.0,21.0,2,16.0,8.0,2
fe0798a3-83e9-44d2-95a1-221b586c3572,B,846.0,49.76,17,686.0,49.0,14
