UserId,BetAttempted,ConfirmationViewed,ConfirmationCancelled,BetPlaced,CancelRate_pct,CancelRate_ofViewed_pct,CancelledAtLeastOnce
e325cae0-ec05-405b-b39e-9d316f5a4c15,21,16,3,18,14.3,18.8,1
8d479225-84cc-4d0f-b3e6-3f61a2764b26,14,12,5,9,35.7,41.7,1
36aaad1d-8604-4a99-a4a7-f03b15e839df,6,3,0,6,0.0,0.0,0
fe0798a3-83e9-44d2-95a1-221b586c3572,14,9,0,14,0.0,0.0,0
8777ceeb-c0fe-4f78-8e86-dd5428507c32,1,1,0,1,0.0,0.0,0
3db6425f-73e7-4f7f-ab88-1134e097fd5b,4,2,0,4,0.0,0.0,0
d6692bfa-902b-4f99-997c-e8e794a36d21,5,5,1,4,20.0,20.0,1
c8171d1d-2e75-491c-be09-34bf9df581ff,13,9,4,9,30.8,44.4,1
223f3159-6beb-4f7e-a535-707daa1a2f44,11,7,3,8,27.3,42.9,1
8df5a4ae-de1e-4a38-a512-df8910505396,5,4,1,4,20.0,25.0,1
7fb7c051-b362-40f7-8efa-2f2a7dc6206a,13,5,1,12,7.7,20.0,1
e7e0cf4f-0487-427f-9edd-f5f7427b1058,2,1,0,2,0.0,0.0,0
5be41bbb-503a-4a8c-a513-682f63de00a5,3,1,0,3,0.0,0.0,0
6256d4b2-a7ef-479a-9793-0c1735f25e85,2,2,0,2,0.0,0.0,0
e0ce78ab-5c37-4015-a43e-0327eca7d411,5,2,0,5,0.0,0.0,0
c8e5acc0-ddb4-478d-ad73-5654826e7355,9,6,1,8,11.1,16.7,1
a040f35e-2eff-400f-bcd2-ac2f4611e6da,5,1,0,5,0.0,0.0,0
7ae04994-1f9b-4233-9c51-0cee3bf1320c,1,0,0,1,0.0,0.0,0
6f93687d-542d-42aa-9495-bb579b2a193e,2,2,1,1,50.0,50.0,1
27449488-f645-4afb-8574-6a2a866b48f4,1,1,0,1,0.0,0.0,0
