UserId,NearMissCount,CasinoSpins,BetPlaced
86bc0ab8-10fd-4530-a85f-e9692caa6516,37,113,7
6dbe7567-822c-4848-8772-826ffb43a6a0,23,141,17
72d999af-07ec-4415-974c-abf642c86538,20,95,12
6b0900c8-6e37-4b5e-82cb-0a054540c6c3,37,130,17
4500baff-cb06-46d3-ba87-68cc617bde5f,5,37,6
c99842c8-51e7-420e-b187-6cd2bbbd2242,9,54,13
707a0648-f3ca-4d06-9b48-dab8e2a8b5af,29,274,32
9ad14b84-d581-426b-967c-9359c7b533f7,14,98,18
ee0da921-8d1f-4bfa-bef0-375bda8d63b6,16,79,27
7def8a4d-8255-48b8-886f-191aec185e55,32,117,6
b9119b29-1ad9-4429-a3d5-576d7e597947,43,178,18
a7f1c0d2-9e34-4b88-8c21-0fd6b2e54a90,18,81,17
3d2fb460-6aa3-4d4a-b52c-880aa756dda1,3,23,13
0192cc80-656c-46f4-a092-118f895b5162,0,0,9
e53f6300-8b8a-4b7d-9acc-007b67a1a6bc,8,74,22
fcc80b9b-7241-4507-b3be-27e2268750fd,0,6,0
786b63d8-fe84-4031-90a0-ae201c76a678,26,93,21
36e9cf9e-9437-4894-9ae5-595d95117bc1,0,12,2
fda732af-1a91-41d6-b91e-15ee3098151f,0,0,5
5717abd6-5f8a-465f-a412-2a5bfa11c564,0,0,4
