EventType,Dark,Ethical,Difference
CasinoRoundCompleted,1914.0,255.0,1659.0
CasinoSpinClicked,1914.0,255.0,1659.0
NearMissShown,371.0,0.0,371.0
OutcomeSelected,478.0,248.0,230.0
PageViewed,827.0,600.0,227.0
BetPlaced,269.0,114.0,155.0
BetAttempted,269.0,169.0,100.0
MyBetsPageViewed,120.0,38.0,82.0
CasinoPageViewed,98.0,29.0,69.0
CasinoStakeChanged,98.0,29.0,69.0
LoginSuccess,106.0,70.0,36.0
HomeViewed,126.0,90.0,36.0
Logout,52.0,41.0,11.0
CashOut,10.0,6.0,4.0
DepositStarted,18.0,14.0,4.0
DepositCompleted,18.0,14.0,4.0
BonusClaimed,22.0,18.0,4.0
ActivityPageViewed,16.0,13.0,3.0
WheelSpin,24.0,22.0,2.0
RegisterSuccess,20.0,20.0,0.0
StakeChanged,324.0,338.0,-14.0
ProfileEdited,0.0,21.0,-21.0
ProfileViewed,10.0,40.0,-30.0
BetConfirmationCancelled,0.0,55.0,-55.0
BetConfirmationViewed,0.0,141.0,-141.0
