EventType,Dark,Ethical,Difference_DarkMinusEthical
CasinoSpinClicked,1605,209,1396
CasinoRoundCompleted,1553,201,1352
PageViewed,856,522,334
NearMissShown,320,0,320
OutcomeSelected,493,206,287
BetPlaced,266,117,149
BetAttempted,266,137,129
StakeChanged,354,274,80
MyBetsPageViewed,122,46,76
CasinoStakeChanged,75,25,50
CasinoPageViewed,75,25,50
HomeViewed,115,79,36
LoginSuccess,95,59,36
Logout,59,28,31
DepositStarted,15,6,9
DepositCompleted,15,6,9
ActivityPageViewed,15,7,8
CashOut,8,2,6
WheelSpin,25,21,4
BonusClaimed,18,17,1
RegisterSuccess,20,20,0
ProfileEdited,0,5,-5
SessionEndedEarly,0,6,-6
OddsViewed,5,12,-7
ProfileViewed,6,24,-18
BetConfirmationCancelled,0,20,-20
BetConfirmationViewed,0,89,-89
