,ActivityPageViewed,BetAttempted,BetConfirmationCancelled,BetConfirmationViewed,BetPlaced,BetSlipCleared,BlackjackRoundCompleted,BlackjackStart,BonusClaimed,CashOut,CasinoPageViewed,CasinoRoundCompleted,CasinoSpinClicked,CasinoStakeChanged,DepositCompleted,DepositStarted,HomeViewed,LoginSuccess,Logout,MyBetsPageViewed,NearMissShown,OutcomeRemoved,OutcomeSelected,PageViewed,ProfileEdited,ProfileViewed,RegisterSuccess,RoulettePageViewed,RouletteSpinPlaced,StakeChanged,WheelSpin
ActivityPageViewed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BetAttempted,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BetConfirmationCancelled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BetConfirmationViewed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BetPlaced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306,0.0,0.0,0.0,0.5027,0.0,0.0,0.0,0.0109,0.0,0.0,0.0
BetSlipCleared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BlackjackRoundCompleted,0.0106,0.0,0.0,0.0,0.0,0.0,0.0,0.8191,0.0,0.0266,0.0,0.0,0.0,0.0,0.0,0.0904,0.0,0.0,0.0532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BlackjackStart,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BonusClaimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0164,0.0,0.0,0.2951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6885,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CashOut,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CasinoPageViewed,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0078,0.0,0.0031,0.0016,0.0,0.5484,0.2359,0.0,0.0109,0.0,0.0,0.0047,0.0,0.1531,0.0,0.0,0.0,0.0,0.0,0.0,0.0297,0.0,0.0,0.0
