SessionId,HadNearMiss,NearMissCount,TotalSpins,SpinsAfterNM,SpinsBeforeNM
0693d27f-e2db-4647-8f2d-58236d5961c5,True,5,15,14,1
06e27c85-c39d-4253-9afa-5376852200ec,True,3,25,7,18
08057d8c-5210-4655-907c-a6d76e2d119b,True,2,12,6,6
0bb4a571-632d-4b79-8770-8aa466772479,True,2,7,5,2
0c91e2eb-6716-463d-9632-5a8dbdf63a66,True,5,22,20,2
0d3e0d7c-4823-40d9-855e-c661c6c38c3f,True,5,21,18,3
100b6604-7604-49bb-856a-5acea363b186,False,0,0,0,0
1177b591-4c5e-47b0-ac9c-27c598fadbe5,True,7,69,38,31
1267d0a0-2f4b-4fa4-bad4-026e2232ce82,True,4,25,18,7
12c7adf9-bacc-4c31-9ac3-581f492ef76a,False,0,0,0,0
1987be33-5230-432d-a836-23271e250816,False,0,0,0,0
1a9b02a8-116b-454c-9e9c-9b96d22c6a57,True,3,17,10,7
1b3cd785-223a-4e2d-a4fd-aa0101fc107d,False,0,0,0,0
1c06185b-c843-45f6-98d5-b97aaa169e80,True,8,29,24,5
1c829cc6-5e11-4e87-b05a-ea4dbb4a817e,True,1,3,0,3
1dccb2af-4755-401e-8f45-4c9115c2592b,True,9,34,33,1
20cb07a1-9638-4bb0-9cac-1fe5b7dd9e95,False,0,0,0,0
2397bd18-95b7-4197-bb4d-a7dd2a34ac36,False,0,0,0,0
23dfb20a-012e-4966-a941-f34f759b50e8,False,0,0,0,0
2486ecb3-46bb-4605-a2d4-ec25584628f9,False,0,0,0,0
2861af54-3ad0-431c-920d-8df6cf506b1e,True,5,23,15,8
2970b23d-88a0-4885-916e-949ae65503c7,True,3,23,11,12
2b46a507-a15a-42c7-af8f-a7feb90ec1d1,True,5,10,9,1
2bcd59d8-a6e5-4162-b579-af504edd025a,True,4,18,16,2
33289fa4-3f41-4b10-b784-fe8c8ba054fa,True,3,12,10,2
335caf83-83b8-471e-9b96-5428ac2bd027,False,0,13,0,0
34d8ddac-0b96-46e5-b7ee-c7216bd99439,True,13,38,26,12
35b798e5-650c-454b-bb33-502bba28fbf2,False,0,0,0,0
3666bf00-024b-4614-be66-137fabd01f14,False,0,0,0,0
367e17c4-7bbc-4a14-9396-6a6e4bb703dd,False,0,6,0,0
3ccd7a66-c2d2-4db8-828b-714d9ad4901a,True,4,18,17,1
3e12b5c4-6405-4ed6-9c6a-a1bb3576dd98,True,5,24,21,3
418f140f-3161-466a-96ff-634d3d18fe05,True,4,15,11,4
42268c7f-79c4-47ab-9ddc-65837c313eea,False,0,0,0,0
454debc3-f4a0-44a8-b9d9-c85a7c362081,True,3,17,4,13
4a5f4534-3f44-4f72-b0e6-50b24e142984,True,2,8,3,5
548800af-943a-4a97-a3d1-b72b44c60a8b,False,0,0,0,0
5692d744-e534-4685-ba05-4d8b4d6c8560,False,0,0,0,0
57804e0a-88e9-45de-9c64-8fbe32dcfb51,True,1,3,0,3
57c1e0ef-4b9e-4b7d-8590-c0e1d7bfe8ca,True,1,2,0,2
59da4ecd-c32d-4898-b36b-c4380d528771,True,2,22,11,11
5b741ac8-4d58-4673-9495-0532284c823f,True,8,30,29,1
60090f22-14e7-45b2-8d41-95dc855fcf6d,True,5,21,20,1
60757805-6047-4bbe-8b9f-0988e07ac409,False,0,0,0,0
63cc2ea9-a5be-4b34-b0a5-66a100673496,True,3,10,9,1
66d62e1c-9de8-427a-8ecc-7b10ba6cf9ef,True,2,26,15,11
68b72e49-2250-4b57-9e0d-ff3c4f15bac9,True,1,3,0,3
697cf59c-7310-4686-8e38-f961dd69a7ce,False,0,15,0,0
6b0149a5-66fe-4352-bdc9-51774970329d,True,9,22,21,1
6b58e5af-c859-4ac2-a6ec-2f85d063abad,True,3,9,2,7
6d0225b4-e58c-4787-840f-c7dfe95c0310,True,5,47,46,1
6d8f0e79-abd4-4fa0-9488-a61239f8ae19,True,3,10,9,1
6db7f7f5-f8a2-4fcb-9a80-7db520c85c6c,True,4,13,12,1
70583872-cc8b-4ee6-a53d-3534be597701,True,2,12,11,1
71522277-5515-4db8-acb7-f31405a7e725,False,0,0,0,0
7192c335-d66e-45e6-8bd9-7b762d4de9df,False,0,0,0,0
71df90e1-635c-4672-b27e-7850733c029e,False,0,8,0,0
7305abf5-5120-4701-936e-19d4e1a32367,False,0,0,0,0
7ad93564-de73-4b02-993a-1d5cef0b45cb,False,0,0,0,0
7b231b49-49e3-4fd1-a8dc-6e609a005a6c,False,0,0,0,0
7f49a933-4d1f-47e4-9817-73dc71550616,True,1,23,18,5
832b10bc-3614-444d-9d51-555ced2a310b,True,2,16,11,5
83bacae2-fcb5-4d0e-af7d-243a00d241f0,True,4,9,6,3
85747586-46c8-4dd7-9e83-a4684ad3db9d,True,4,12,11,1
87638730-67df-4544-b50a-5ca7fc1bb6cd,True,3,8,4,4
8ac10922-39b7-429d-8ae6-fc09c87d44c0,True,2,18,10,8
8ade050d-6aa4-402a-8fc9-71150f691b82,True,6,19,18,1
8d182451-a94d-4a12-b4fa-4b7ccdc72c17,False,0,0,0,0
8d8b223a-0524-49dd-b68a-af8d4b455f9a,True,2,21,7,14
8f859346-8027-47f7-93c6-02a426b79f79,False,0,17,0,0
945db5c6-9447-4b2f-be6c-af4254320e11,True,3,16,12,4
9b1abeb2-8614-4ab4-ada0-32608f1dd60e,False,0,0,0,0
9d50d4b5-39cc-491b-99f1-1b6c61a6e095,True,6,21,18,3
9f64622b-a11c-4079-9ae3-c46a9460d883,False,0,0,0,0
a248a164-e5f4-4454-8530-5834343fb69f,False,0,0,0,0
a5acc18d-1b38-49b0-b20c-74740c854ebe,False,0,0,0,0
a8ee7678-a87b-4147-b870-14bffaabada6,False,0,0,0,0
a9381cbc-abd0-483a-8522-7f7899e068ce,True,1,6,0,6
abdfda56-e714-43f9-9333-4f79088e78b5,False,0,0,0,0
ad1a9362-4920-4de8-a4d4-4b473fec9ee8,False,0,0,0,0
ad7e646e-f008-4cc0-b4b7-e916c78cda40,False,0,15,0,0
ae2e6d01-ed4a-44b4-8862-e9b177c80f96,True,1,7,0,7
b1bf9899-dbb4-413b-b03a-f49f8557ecca,False,0,0,0,0
b22d91b4-d84c-43d0-ac49-ba706dac21fc,False,0,0,0,0
b4cbcb26-e42a-4b51-90dd-44a63dd67d21,True,15,57,56,1
b6677005-9aa6-4a04-a58f-3aa76767308c,False,0,17,0,0
be521c00-7176-484e-af15-497e81e1bc90,False,0,4,0,0
c4a6a60c-0a77-40c8-8092-c9d40fced3c5,False,0,0,0,0
c55815c8-084b-404c-9f6a-88cec6140acb,True,5,20,19,1
c600ec62-6581-4275-a44c-25a0deb7b363,False,0,0,0,0
c6292da2-723a-4710-8582-4e0135a787f7,True,7,49,38,11
c9458778-68da-4dbd-af2d-eb9922f2dcb3,True,2,31,23,8
caa18627-3e7a-4e6d-a624-81c7f4413b32,True,3,20,10,10
cca366fe-753f-45ef-a04e-bf5b6f8cb7ac,True,8,18,17,1
cccbcae1-5e1d-443e-8a23-853908841578,False,0,0,0,0
da3970a7-9793-4146-90f9-aec659962815,False,0,0,0,0
dbec0815-ca5b-40d3-90b4-837a33b3f543,True,4,25,22,3
dc232752-a6f0-4dfd-862f-ae4af12f3257,True,12,99,96,3
dd4c475c-cf78-47ad-bcc6-117538d3c20d,True,13,36,35,1
deea2013-1294-48ca-adc3-f5e13d9e6e89,True,2,11,2,9
e6750ad9-59df-48bc-bc52-d375ff1b572a,False,0,0,0,0
e884d62e-8aff-4969-8156-5152ddb25263,False,0,0,0,0
e92763c1-ea53-4de1-bc56-2603b4603153,True,1,1,0,1
eb0471a0-aca1-4482-9e46-833207c05b59,True,13,70,65,5
ee715482-7b06-45b4-a3de-1e6bc1856445,False,0,0,0,0
efa8fdb9-6997-4509-b477-641ecbc4edf7,False,0,0,0,0
efed77cf-4a69-4d85-9d0f-4c6939d28bef,False,0,0,0,0
f06a0030-be63-49ed-8272-409b5fbcb568,True,1,11,3,8
f16a6289-c4e1-418e-95fa-28b373a4ecaa,False,0,0,0,0
f5a88305-1e3f-4cae-bc50-39e1303203bd,True,16,67,56,11
f742e68f-743e-4ef5-bb70-47219cc4a715,False,0,0,0,0
f891b6f8-a4aa-41c1-8b03-65ce167b03f7,True,2,13,12,1
f8b900e8-642a-46ad-a84b-c36b6bed4825,True,2,7,5,2
fb9745cf-9308-4cf7-84bb-648dfc23d115,True,15,43,41,2
ffc86a84-e9d3-4bc6-ad5c-d2689a8effd7,True,10,41,38,3
