Variant,SessionId,TotalEvents,BettingActions,CasinoActions
Dark,0693d27f-e2db-4647-8f2d-58236d5961c5,50,7.0,35.0
Dark,06e27c85-c39d-4253-9afa-5376852200ec,90,21.0,53.0
Dark,08057d8c-5210-4655-907c-a6d76e2d119b,59,18.0,27.0
Dark,0bb4a571-632d-4b79-8770-8aa466772479,58,24.0,15.0
Dark,0c91e2eb-6716-463d-9632-5a8dbdf63a66,54,0.0,50.0
Dark,0d3e0d7c-4823-40d9-855e-c661c6c38c3f,60,5.0,47.0
Dark,100b6604-7604-49bb-856a-5acea363b186,18,10.0,0.0
Dark,1177b591-4c5e-47b0-ac9c-27c598fadbe5,193,25.0,145.0
Dark,1267d0a0-2f4b-4fa4-bad4-026e2232ce82,58,0.0,55.0
Dark,12c7adf9-bacc-4c31-9ac3-581f492ef76a,9,0.0,0.0
Dark,1987be33-5230-432d-a836-23271e250816,31,16.0,0.0
Dark,1a9b02a8-116b-454c-9e9c-9b96d22c6a57,80,24.0,37.0
Dark,1b3cd785-223a-4e2d-a4fd-aa0101fc107d,21,12.0,0.0
Dark,1c06185b-c843-45f6-98d5-b97aaa169e80,109,24.0,67.0
Dark,1c829cc6-5e11-4e87-b05a-ea4dbb4a817e,41,15.0,9.0
Dark,1dccb2af-4755-401e-8f45-4c9115c2592b,81,0.0,75.0
Dark,20cb07a1-9638-4bb0-9cac-1fe5b7dd9e95,38,23.0,0.0
Dark,2397bd18-95b7-4197-bb4d-a7dd2a34ac36,30,16.0,0.0
Dark,23dfb20a-012e-4966-a941-f34f759b50e8,7,0.0,0.0
Dark,2486ecb3-46bb-4605-a2d4-ec25584628f9,12,3.0,1.0
Dark,2861af54-3ad0-431c-920d-8df6cf506b1e,66,6.0,52.0
Dark,2970b23d-88a0-4885-916e-949ae65503c7,95,24.0,50.0
Dark,2b46a507-a15a-42c7-af8f-a7feb90ec1d1,47,10.0,26.0
Dark,2bcd59d8-a6e5-4162-b579-af504edd025a,47,0.0,41.0
Dark,33289fa4-3f41-4b10-b784-fe8c8ba054fa,39,4.0,27.0
Dark,335caf83-83b8-471e-9b96-5428ac2bd027,76,27.0,27.0
Dark,34d8ddac-0b96-46e5-b7ee-c7216bd99439,93,0.0,89.0
Dark,35b798e5-650c-454b-bb33-502bba28fbf2,53,33.0,0.0
