Variant,UserId,Sessions,Events,First,Last,SpanMin
Dark,0192cc80-656c-46f4-a092-118f895b5162,4,93,2026-05-15 19:06:56.872312+00:00,2026-05-19 22:03:11.243144+00:00,5936.239513866666
Dark,36e9cf9e-9437-4894-9ae5-595d95117bc1,2,55,2026-05-17 18:42:35.499570+00:00,2026-05-19 18:03:27.277186+00:00,2840.862960266667
Dark,3d2fb460-6aa3-4d4a-b52c-880aa756dda1,3,172,2026-05-16 19:54:39.172252+00:00,2026-05-20 16:29:52.671673+00:00,5555.224990350001
Dark,4500baff-cb06-46d3-ba87-68cc617bde5f,3,137,2026-05-17 18:22:06.342233+00:00,2026-05-20 17:30:48.859047+00:00,4268.708613566667
Dark,5717abd6-5f8a-465f-a412-2a5bfa11c564,1,43,2026-05-18 22:00:07.624265+00:00,2026-05-18 22:03:46.400827+00:00,3.6462760333333337
Dark,6b0900c8-6e37-4b5e-82cb-0a054540c6c3,8,478,2026-05-15 08:06:29.147930+00:00,2026-05-21 20:46:01.619630+00:00,9399.541195
Dark,6dbe7567-822c-4848-8772-826ffb43a6a0,8,493,2026-05-15 17:37:52.027674+00:00,2026-05-21 20:47:35.329023+00:00,8829.72168915
Dark,707a0648-f3ca-4d06-9b48-dab8e2a8b5af,9,876,2026-05-15 12:31:39.560595+00:00,2026-05-20 21:06:09.670915+00:00,7714.501838666666
Dark,72d999af-07ec-4415-974c-abf642c86538,7,354,2026-05-16 13:37:44.359260+00:00,2026-05-21 18:44:24.621317+00:00,7506.671034283334
Dark,786b63d8-fe84-4031-90a0-ae201c76a678,7,427,2026-05-15 19:12:48.412865+00:00,2026-05-21 20:28:02.777021+00:00,8715.2394026
Dark,7def8a4d-8255-48b8-886f-191aec185e55,5,349,2026-05-15 14:20:32.779437+00:00,2026-05-19 19:22:27.022883+00:00,6061.904057433333
Dark,86bc0ab8-10fd-4530-a85f-e9692caa6516,5,351,2026-05-16 11:12:22.889269+00:00,2026-05-21 19:59:10.588857+00:00,7726.794993133333
Dark,9ad14b84-d581-426b-967c-9359c7b533f7,9,413,2026-05-16 18:55:06.985393+00:00,2026-05-21 13:53:06.481177+00:00,6897.9915964
Dark,a7f1c0d2-9e34-4b88-8c21-0fd6b2e54a90,9,384,2026-05-16 11:31:49.892615+00:00,2026-05-21 21:54:52.244900+00:00,7823.03920475
Dark,b9119b29-1ad9-4429-a3d5-576d7e597947,5,572,2026-05-17 20:11:58.187309+00:00,2026-05-21 21:40:21.369182+00:00,5848.38636455
Dark,c99842c8-51e7-420e-b187-6cd2bbbd2242,8,256,2026-05-15 18:20:53.105651+00:00,2026-05-20 22:15:50.371425+00:00,7434.954429566667
Dark,e53f6300-8b8a-4b7d-9acc-007b67a1a6bc,8,387,2026-05-15 13:22:49.952752+00:00,2026-05-19 21:11:55.134825+00:00,6229.086367883333
Dark,ee0da921-8d1f-4bfa-bef0-375bda8d63b6,11,464,2026-05-15 17:53:57.486632+00:00,2026-05-21 20:31:57.271212+00:00,8797.996409666666
Dark,fcc80b9b-7241-4507-b3be-27e2268750fd,1,20,2026-05-16 13:56:43.141436+00:00,2026-05-16 13:57:29.571182+00:00,0.7738291
Dark,fda732af-1a91-41d6-b91e-15ee3098151f,2,57,2026-05-17 16:42:25.710630+00:00,2026-05-17 20:18:39.398129+00:00,216.22812498333332
Ethical,223f3159-6beb-4f7e-a535-707daa1a2f44,5,169,2026-05-15 21:00:15.837744+00:00,2026-05-21 18:25:32.441793+00:00,8485.27673415
Ethical,27449488-f645-4afb-8574-6a2a866b48f4,1,27,2026-05-20 22:35:20.445588+00:00,2026-05-20 22:38:55.386215+00:00,3.5823437833333336
Ethical,36aaad1d-8604-4a99-a4a7-f03b15e839df,7,95,2026-05-15 16:44:18.240097+00:00,2026-05-21 17:09:57.214264+00:00,8665.649569449999
Ethical,3db6425f-73e7-4f7f-ab88-1134e097fd5b,5,92,2026-05-15 17:24:36.097010+00:00,2026-05-20 19:33:43.931802+00:00,7329.130579866667
Ethical,5be41bbb-503a-4a8c-a513-682f63de00a5,3,50,2026-05-17 14:39:19.150422+00:00,2026-05-19 18:24:42.400130+00:00,3105.3874951333332
Ethical,6256d4b2-a7ef-479a-9793-0c1735f25e85,1,28,2026-05-17 18:57:53.620805+00:00,2026-05-17 18:59:55.344072+00:00,2.028721116666667
Ethical,6f93687d-542d-42aa-9495-bb579b2a193e,1,25,2026-05-20 20:30:32.238649+00:00,2026-05-20 20:33:55.464508+00:00,3.3870976500000003
Ethical,7ae04994-1f9b-4233-9c51-0cee3bf1320c,1,15,2026-05-20 18:53:02.881688+00:00,2026-05-20 18:54:26.280457+00:00,1.3899794833333334
Ethical,7fb7c051-b362-40f7-8efa-2f2a7dc6206a,4,136,2026-05-16 14:09:48.841758+00:00,2026-05-20 16:53:09.498522+00:00,5923.3442794
Ethical,8777ceeb-c0fe-4f78-8e86-dd5428507c32,3,55,2026-05-15 17:17:25.498885+00:00,2026-05-20 18:50:42.099514+00:00,7293.27667715
Ethical,8d479225-84cc-4d0f-b3e6-3f61a2764b26,8,194,2026-05-15 13:37:15.705089+00:00,2026-05-19 23:56:46.495264+00:00,6379.5131695833325
Ethical,8df5a4ae-de1e-4a38-a512-df8910505396,3,91,2026-05-15 21:48:27.497783+00:00,2026-05-21 21:04:36.089884+00:00,8596.143201683333
Ethical,a040f35e-2eff-400f-bcd2-ac2f4611e6da,3,124,2026-05-19 18:28:48.019866+00:00,2026-05-20 17:43:09.269055+00:00,1394.35415315
Ethical,c8171d1d-2e75-491c-be09-34bf9df581ff,5,166,2026-05-15 18:59:43.387086+00:00,2026-05-19 18:21:06.424861+00:00,5721.383962916666
Ethical,c8e5acc0-ddb4-478d-ad73-5654826e7355,5,109,2026-05-18 20:04:40.596569+00:00,2026-05-21 19:45:21.709651+00:00,4300.6852180333335
Ethical,d6692bfa-902b-4f99-997c-e8e794a36d21,4,124,2026-05-15 17:46:22.711447+00:00,2026-05-20 15:57:34.095709+00:00,7091.1897377
Ethical,e0ce78ab-5c37-4015-a43e-0327eca7d411,4,92,2026-05-18 17:13:22.123735+00:00,2026-05-21 22:00:22.735882+00:00,4607.010202449999
Ethical,e325cae0-ec05-405b-b39e-9d316f5a4c15,9,279,2026-05-15 11:15:09.681791+00:00,2026-05-21 11:56:35.178855+00:00,8681.424951066667
Ethical,e7e0cf4f-0487-427f-9edd-f5f7427b1058,2,32,2026-05-17 11:14:57.714375+00:00,2026-05-19 20:56:16.362822+00:00,3461.31080745
Ethical,fe0798a3-83e9-44d2-95a1-221b586c3572,5,260,2026-05-15 17:15:30.290883+00:00,2026-05-21 19:42:26.674185+00:00,8786.9397217
