UserId,NearMissCount,OutcomeRemovedCnt,CasinoSpins,BetPlaced
223f3159-6beb-4f7e-a535-707daa1a2f44,24,0,161,11
27449488-f645-4afb-8574-6a2a866b48f4,8,0,61,9
36aaad1d-8604-4a99-a4a7-f03b15e839df,6,0,34,1
3db6425f-73e7-4f7f-ab88-1134e097fd5b,12,0,46,19
5be41bbb-503a-4a8c-a513-682f63de00a5,1,0,11,2
6256d4b2-a7ef-479a-9793-0c1735f25e85,1,0,5,2
6f93687d-542d-42aa-9495-bb579b2a193e,4,0,37,4
7ae04994-1f9b-4233-9c51-0cee3bf1320c,12,0,81,14
7fb7c051-b362-40f7-8efa-2f2a7dc6206a,13,0,121,16
8777ceeb-c0fe-4f78-8e86-dd5428507c32,4,0,53,11
8d479225-84cc-4d0f-b3e6-3f61a2764b26,32,0,116,9
8df5a4ae-de1e-4a38-a512-df8910505396,27,0,110,24
a040f35e-2eff-400f-bcd2-ac2f4611e6da,21,0,63,9
c8171d1d-2e75-491c-be09-34bf9df581ff,8,0,60,10
c8e5acc0-ddb4-478d-ad73-5654826e7355,10,0,48,6
d6692bfa-902b-4f99-997c-e8e794a36d21,2,0,8,6
e0ce78ab-5c37-4015-a43e-0327eca7d411,17,0,140,7
e325cae0-ec05-405b-b39e-9d316f5a4c15,39,0,174,27
e7e0cf4f-0487-427f-9edd-f5f7427b1058,0,0,0,2
fe0798a3-83e9-44d2-95a1-221b586c3572,26,0,195,17
