EventType,Dark,Ethical,Diff_Dark_minus_Ethical
CasinoSpinClicked,1524.0,268.0,1256.0
CasinoRoundCompleted,1476.0,257.0,1219.0
NearMissShown,267.0,0.0,267.0
OutcomeSelected,375.0,295.0,80.0
CasinoPageViewed,76.0,37.0,39.0
CasinoStakeChanged,76.0,37.0,39.0
BetPlaced,206.0,181.0,25.0
Logout,55.0,41.0,14.0
OddsViewed,24.0,12.0,12.0
BetAttempted,206.0,195.0,11.0
MyBetsPageViewed,85.0,76.0,9.0
CashOut,7.0,6.0,1.0
DepositCompleted,11.0,12.0,-1.0
DepositStarted,11.0,12.0,-1.0
WheelSpin,5.0,7.0,-2.0
BonusClaimed,4.0,7.0,-3.0
ActivityPageViewed,14.0,20.0,-6.0
HomeViewed,111.0,117.0,-6.0
LoginSuccess,111.0,117.0,-6.0
SessionEndedEarly,0.0,7.0,-7.0
BetConfirmationCancelled,0.0,14.0,-14.0
ProfileEdited,0.0,16.0,-16.0
ProfileViewed,5.0,36.0,-31.0
PageViewed,681.0,726.0,-45.0
StakeChanged,294.0,390.0,-96.0
BetConfirmationViewed,0.0,124.0,-124.0
