Variant,UserId,BettingActions,CasinoActions,FinancialActions,DarkPatternActions,TotalCoreGamblingActions
Dark,223f3159-6beb-4f7e-a535-707daa1a2f44,59,325.0,0.0,24.0,384.0
Dark,27449488-f645-4afb-8574-6a2a866b48f4,48,126.0,3.0,8.0,174.0
Dark,36aaad1d-8604-4a99-a4a7-f03b15e839df,5,69.0,0.0,6.0,74.0
Dark,3db6425f-73e7-4f7f-ab88-1134e097fd5b,99,93.0,2.0,12.0,192.0
Dark,5be41bbb-503a-4a8c-a513-682f63de00a5,10,23.0,0.0,1.0,33.0
Dark,6256d4b2-a7ef-479a-9793-0c1735f25e85,9,12.0,0.0,1.0,21.0
Dark,6f93687d-542d-42aa-9495-bb579b2a193e,24,75.0,0.0,4.0,99.0
Dark,7ae04994-1f9b-4233-9c51-0cee3bf1320c,74,163.0,0.0,12.0,237.0
Dark,7fb7c051-b362-40f7-8efa-2f2a7dc6206a,89,244.0,0.0,13.0,333.0
Dark,8777ceeb-c0fe-4f78-8e86-dd5428507c32,57,107.0,1.0,4.0,164.0
Dark,8d479225-84cc-4d0f-b3e6-3f61a2764b26,41,238.0,6.0,32.0,279.0
Dark,8df5a4ae-de1e-4a38-a512-df8910505396,132,227.0,4.0,27.0,359.0
Dark,a040f35e-2eff-400f-bcd2-ac2f4611e6da,52,126.0,2.0,21.0,178.0
Dark,c8171d1d-2e75-491c-be09-34bf9df581ff,52,123.0,1.0,8.0,175.0
Dark,c8e5acc0-ddb4-478d-ad73-5654826e7355,30,99.0,0.0,10.0,129.0
Dark,d6692bfa-902b-4f99-997c-e8e794a36d21,29,17.0,0.0,2.0,46.0
Dark,e0ce78ab-5c37-4015-a43e-0327eca7d411,39,282.0,1.0,17.0,321.0
Dark,e325cae0-ec05-405b-b39e-9d316f5a4c15,140,341.0,6.0,39.0,481.0
Dark,e7e0cf4f-0487-427f-9edd-f5f7427b1058,9,0.0,0.0,0.0,9.0
Dark,fe0798a3-83e9-44d2-95a1-221b586c3572,83,391.0,3.0,26.0,474.0
Ethical,0192cc80-656c-46f4-a092-118f895b5162,62,1.0,1.0,0.0,63.0
Ethical,36e9cf9e-9437-4894-9ae5-595d95117bc1,68,1.0,2.0,0.0,69.0
Ethical,3d2fb460-6aa3-4d4a-b52c-880aa756dda1,83,42.0,5.0,0.0,125.0
Ethical,4500baff-cb06-46d3-ba87-68cc617bde5f,128,21.0,1.0,0.0,149.0
Ethical,5717abd6-5f8a-465f-a412-2a5bfa11c564,15,6.0,0.0,0.0,21.0
Ethical,6b0900c8-6e37-4b5e-82cb-0a054540c6c3,17,0.0,0.0,0.0,17.0
Ethical,6dbe7567-822c-4848-8772-826ffb43a6a0,25,62.0,1.0,0.0,87.0
Ethical,707a0648-f3ca-4d06-9b48-dab8e2a8b5af,117,103.0,7.0,0.0,220.0
Ethical,72d999af-07ec-4415-974c-abf642c86538,65,29.0,0.0,0.0,94.0
Ethical,786b63d8-fe84-4031-90a0-ae201c76a678,27,10.0,2.0,0.0,37.0
Ethical,7def8a4d-8255-48b8-886f-191aec185e55,47,0.0,2.0,0.0,47.0
Ethical,86bc0ab8-10fd-4530-a85f-e9692caa6516,67,56.0,0.0,0.0,123.0
Ethical,9ad14b84-d581-426b-967c-9359c7b533f7,89,45.0,0.0,0.0,134.0
Ethical,a7f1c0d2-9e34-4b88-8c21-0fd6b2e54a90,52,37.0,0.0,0.0,89.0
Ethical,b9119b29-1ad9-4429-a3d5-576d7e597947,61,26.0,4.0,0.0,87.0
Ethical,c99842c8-51e7-420e-b187-6cd2bbbd2242,33,45.0,2.0,0.0,78.0
Ethical,e53f6300-8b8a-4b7d-9acc-007b67a1a6bc,34,70.0,3.0,0.0,104.0
Ethical,ee0da921-8d1f-4bfa-bef0-375bda8d63b6,45,0.0,0.0,0.0,45.0
Ethical,fcc80b9b-7241-4507-b3be-27e2268750fd,5,0.0,0.0,0.0,5.0
Ethical,fda732af-1a91-41d6-b91e-15ee3098151f,21,15.0,0.0,0.0,36.0
