,ActivityPageViewed,BetAttempted,BetConfirmationCancelled,BetConfirmationViewed,BetPlaced,BetPlacedFailed,BetSlipCleared,BlackjackRoundCompleted,BlackjackStart,BonusClaimed,CashOut,CasinoPageViewed,CasinoRoundCompleted,CasinoSpinClicked,CasinoStakeChanged,DepositCompleted,DepositStarted,HomeViewed,LoginSuccess,Logout,MyBetsPageViewed,NearMissShown,OutcomeRemoved,OutcomeSelected,PageViewed,ProfileEdited,ProfileViewed,RoulettePageViewed,RouletteSpinPlaced,StakeChanged,WheelSpin
ActivityPageViewed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BetAttempted,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BetConfirmationCancelled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BetConfirmationViewed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BetPlaced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056,0.0,0.0,0.1732,0.0,0.0,0.0,0.0,0.0112,0.0,0.0,0.0,0.3184,0.0,0.0,0.0,0.486,0.0,0.0,0.0056,0.0,0.0,0.0
BetPlacedFailed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BetSlipCleared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.0,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.0,0.0,0.0,0.0,0.1111,0.0
BlackjackRoundCompleted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1255,0.0,0.0,0.0303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BlackjackStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BonusClaimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2131,0.0,0.0,0.0,0.0,0.0164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7541,0.0,0.0,0.0164,0.0,0.0,0.0
CashOut,0.1818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CasinoPageViewed,0.0019,0.0,0.0,0.0,0.0,0.0,0.0056,0.0,0.0056,0.0,0.0019,0.0056,0.0,0.4738,0.3165,0.0,0.0056,0.0,0.0,0.0037,0.0,0.1517,0.0,0.0,0.0,0.0,0.0,0.0281,0.0,0.0,0.0
CasinoRoundCompleted,0.0023,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0075,0.0,0.0029,0.2202,0.0,0.5736,0.0,0.0,0.0087,0.0,0.0,0.0041,0.0,0.1645,0.0,0.0,0.0,0.0,0.0,0.0151,0.0,0.0,0.0
