SessionId,HadNearMiss,NearMissCount,TotalSpins,SpinsAfterNM
04460e27-fd61-4bd3-87b4-3a0caca69e21,False,0,7,0
0542ce0a-60e9-4fc2-89b8-1a941eafa2ce,True,10,44,41
085e0685-9456-4a95-9fc1-afbc86313071,True,1,29,14
0ebada42-34bc-425e-901a-402fb00a2e5f,True,4,26,18
0f832e72-9a3e-45c2-aa55-8410a3c8d7a9,True,3,9,8
11704ef8-cbab-4c63-87c7-8dc60d086307,True,4,28,20
127fd932-0834-4ccb-bdf5-b8cce4480d8d,False,0,0,0
15fcb91a-4e07-4891-82fe-6f1a1f115f24,True,2,14,6
1c82643b-b910-4161-a71a-75f09c4fa326,False,0,0,0
22489881-1d0b-4840-b348-3ed25be79abb,True,12,44,39
22ad1f88-6997-432a-8b89-497e1bd04673,True,1,4,0
22c6879f-8840-4fb5-aa3c-c63f4ca20b4e,True,1,7,4
24170b82-3cf4-488d-8da0-f0a12e82dc40,True,1,8,0
279c92e0-88aa-4760-9413-a10726ade2fa,True,1,3,0
285a6f88-63c1-4331-80fd-0fb2a4db2fd7,True,2,15,7
2877c2df-93b9-4fed-8d3d-384d473d6bd1,False,0,0,0
295839f5-6b69-466f-87d7-2a61e2def1e6,False,0,0,0
2b505051-20e0-440d-9773-6b8e59f4873b,True,2,18,8
2e765b8f-d013-4ce5-80d6-f4363d749204,True,8,57,47
2ef8bc67-a68f-43db-b61b-e99dfec1942e,False,0,17,0
2ffa613e-759c-446b-a6a2-e9fd5ec898da,True,2,8,3
3830ff46-1319-4d6c-ad07-a19f054fcb23,True,3,12,7
3a1ffda0-3e44-4dbf-9051-9c70e7a547c3,False,0,0,0
3ab45df4-f333-463d-9b29-53d5a1de0995,True,5,27,26
3cfda626-6388-4e82-8904-f88acf8c4db2,True,11,20,19
403d18fe-0773-4003-950e-15759ecfbc0c,True,3,23,9
43e99443-30bc-4208-8f2a-9c3e98ea5c7e,False,0,0,0
441b3a49-13d7-4eff-ac89-41efd989275f,False,0,0,0
48cc1b01-06eb-45fd-abb7-3b847676bd39,False,0,0,0
4a238f1f-6a30-402d-a5fa-825fb8ef7866,False,0,0,0
4b026aa3-690f-4050-832a-a850d566a271,True,2,29,22
4d0d8c3a-1a71-48e6-b3c5-4080477d2921,True,6,33,26
4e7a533b-aa6b-487f-9f69-f08b8a022c23,True,1,7,1
4f230361-7fac-47ba-b511-692c27eb89f3,True,1,3,0
547018a5-9764-4913-a05f-78fedca3b1de,False,0,15,0
5537ad8c-a73d-4c37-b072-863c5f89d73e,True,9,47,45
55ec2e03-c663-4a84-9149-ffa5e5efe954,True,6,17,14
5de55731-adfe-4ab3-9b8d-545e232c459d,True,4,6,5
5ff055eb-9616-4606-a371-4386588ee54d,True,7,19,17
62011583-6d41-4350-9610-54f1efe16a83,True,1,1,0
64064709-6503-48b0-9358-d555cd9954fc,True,2,13,8
655a43cf-8643-4886-b3e5-ee610d3e9e4b,False,0,0,0
6898d032-b1f9-49bc-92b9-186d44f9749b,False,0,0,0
6d222111-07d9-49f7-9bfb-80290b50df06,True,5,18,17
7567eaa8-8489-4155-b801-c31675254f48,False,0,0,0
78ca5556-ccf6-4a7b-9aaa-9d232a925d5e,True,3,31,14
7a915f60-46f4-4dc3-b430-8eff47deb18f,True,6,21,20
7b1c3cbd-e645-4882-9808-bffade02c7ef,True,5,18,10
7bddfd5d-03bd-4482-945d-5f0a43621e06,True,4,9,7
7e4926cb-c648-432e-8980-db3ce306d2b5,False,0,0,0
81577602-b78d-4955-aea6-12c449021ee0,False,0,0,0
838623a9-6ccb-49a4-9f89-3741e32fb3b5,True,1,3,0
83cd917c-815b-4aa6-8ef1-882786b6f0bf,True,1,5,0
8870c076-dbb7-48d1-a289-78296df81887,False,0,0,0
8924c567-290c-41d7-8605-7b42c1f7cf60,True,3,20,5
8a34d96e-26a5-4747-a23d-12db44b56f68,True,5,49,35
8abe6f03-edcc-4a25-a056-eacc7a2acb99,False,0,0,0
8ac07013-47e4-42d0-a28d-a8e802ebd435,True,3,10,2
8b14364a-b2aa-4df7-b864-2a5bb3ed4865,False,0,0,0
8c60585b-558a-43c4-a894-a357bd380ce3,False,0,0,0
8d47bb7b-7e02-44dd-a4a9-7bb8cd079df4,True,4,14,13
8dc4fe21-cd6b-451d-85cc-923e5f716e71,True,2,27,23
8dee700e-0fa9-4f73-9c3a-bf7aa1db3b51,False,0,0,0
8f81914c-edd0-40f1-9d85-30bc677f6253,True,12,74,73
9155a2c0-cb30-418d-8765-95974233d2a4,False,0,0,0
952bad54-5eb5-4ccf-9da1-eda058c3227e,False,0,0,0
96fae80f-d3d4-460b-b65a-d1173799f388,False,0,0,0
9b345096-d2c3-44cc-b7be-1c853d04463b,True,5,38,35
9cdfff0c-c2a1-4157-b11e-0a57031a2b72,True,1,13,4
a2a990fc-78bb-4aa0-9f06-f03f5a50284d,True,2,15,9
a59a875c-9228-4fb2-aea4-814f01be0eb0,False,0,10,0
a77709f3-46b7-4e76-8d7b-9322a1365a06,True,2,13,8
aab8b358-8d22-4d52-889b-877c2cf5c937,True,4,15,14
b0aae049-19ce-4972-93f1-11d49ded2538,True,2,19,16
b0bade58-68e8-4d07-897c-60716df7cf8c,True,1,1,0
b378050e-cb78-4f6d-8789-ba8dd7ff025f,True,1,6,1
b6f69d37-1a3b-4934-a2a7-6570d5019b3d,True,2,19,8
b82db4df-c233-45fe-987b-034375ce8ccd,True,4,17,16
b9f4e3a6-7cdb-4507-a070-a4dc99f217c7,False,0,0,0
bc0abd72-abdc-45ab-9e22-386118afafc0,True,2,35,30
bc1e3f05-c421-4f6f-b680-07ed0d66b965,True,2,10,6
bdb891be-1e78-4339-9c3e-cc5f0ade22f2,True,7,21,18
bf106eb3-f3ad-42f0-8126-509595bb7b3d,True,8,49,46
c3b179a8-f2f0-4a4c-8f5c-af99054f937b,False,0,0,0
c413628b-7421-49c5-9df1-3209d2d9d22b,True,2,18,7
c5e79d0a-60ea-44cc-907e-71692bb1a894,False,0,0,0
c81bd5ed-9c2a-423e-8453-61cf5e281863,False,0,0,0
c90829e3-9811-4904-b24b-d9ede856a5c3,False,0,0,0
ca2c4aab-763e-431c-989c-3c184ca80a51,False,0,0,0
caa91119-7a0f-49ef-ba72-bd048626e587,True,1,21,6
cd726a12-c834-47ce-886c-12648746ef66,False,0,0,0
d224ccfd-60ba-4798-8a86-818204d9e064,True,8,27,23
d45e6fd2-387c-405c-9455-4b532c35a92b,False,0,0,0
d58771cd-6977-4588-96e7-4b7827eaa451,True,2,13,2
d944a172-c54f-49ea-a38f-1dafda83d865,True,3,22,5
e0714400-4258-4c42-a3dd-fac2f5bad13f,True,1,10,4
e16ecd8b-6773-4cc9-ab93-1962d0654734,True,5,17,11
e4e6ebcf-11f2-47dd-ae66-b84239c31fdf,True,8,28,19
e65db2d9-fa1f-4b29-b04f-bd443d46cc19,False,0,0,0
e9acd94f-1beb-45bd-a949-84a41aee5110,True,2,7,2
ed3cc039-eebc-4e06-a127-1fe004ddc5e6,True,8,44,43
ef85732d-f99d-413b-99e1-388a6ca76eff,True,2,11,5
efb80b80-a140-47f1-9e3f-4938e608f2a2,True,1,21,20
effca26b-9d12-485b-a8fa-695646d43573,False,0,0,0
f26c3fbe-79b6-41d7-8c50-c22586ac1688,True,2,7,1
f6b2041c-37a0-4a07-ab73-195d3dc30e2e,True,1,11,6
f9935a8d-7773-443c-b6e9-83a49c5b72ae,False,0,0,0
fa374047-8ba8-4453-899d-214997306a3c,False,0,0,0
fb9649cd-ca6e-43e0-8604-685efbf9c57a,True,3,21,15
fe99f312-4128-428e-97eb-4c60940f8423,True,6,56,40
ff0d4b18-a169-4757-83eb-d5703ec5a4f1,False,0,0,0
