UserId,Variant,Week,NumBets,TotalStake,AvgStakePerBet,MaxStake,AvgSelections
0192cc80-656c-46f4-a092-118f895b5162,Ethical,2,10,119.0,11.9,23.0,1.8
223f3159-6beb-4f7e-a535-707daa1a2f44,Dark,2,11,757.0,68.82,148.0,1.91
27449488-f645-4afb-8574-6a2a866b48f4,Dark,2,9,190.0,21.11,40.0,1.67
36aaad1d-8604-4a99-a4a7-f03b15e839df,Dark,2,1,15.0,15.0,15.0,1.0
36e9cf9e-9437-4894-9ae5-595d95117bc1,Ethical,2,11,204.0,18.55,75.0,1.82
3d2fb460-6aa3-4d4a-b52c-880aa756dda1,Ethical,2,14,197.0,14.07,30.0,1.36
3db6425f-73e7-4f7f-ab88-1134e097fd5b,Dark,2,19,703.0,37.0,112.0,2.0
4500baff-cb06-46d3-ba87-68cc617bde5f,Ethical,2,24,446.0,18.58,75.0,1.33
5717abd6-5f8a-465f-a412-2a5bfa11c564,Ethical,2,2,63.0,31.5,57.0,1.5
5be41bbb-503a-4a8c-a513-682f63de00a5,Dark,2,2,70.0,35.0,64.0,1.0
6256d4b2-a7ef-479a-9793-0c1735f25e85,Dark,2,2,77.0,38.5,64.0,1.5
6b0900c8-6e37-4b5e-82cb-0a054540c6c3,Ethical,2,3,113.0,37.67,75.0,1.67
6dbe7567-822c-4848-8772-826ffb43a6a0,Ethical,2,5,244.0,48.8,102.0,1.0
6f93687d-542d-42aa-9495-bb579b2a193e,Dark,2,4,100.0,25.0,45.0,1.75
707a0648-f3ca-4d06-9b48-dab8e2a8b5af,Ethical,2,20,584.0,29.2,111.0,1.35
72d999af-07ec-4415-974c-abf642c86538,Ethical,2,12,249.0,20.75,66.0,1.42
786b63d8-fe84-4031-90a0-ae201c76a678,Ethical,2,4,76.0,19.0,34.0,1.75
7ae04994-1f9b-4233-9c51-0cee3bf1320c,Dark,2,14,255.0,18.21,64.0,1.79
7def8a4d-8255-48b8-886f-191aec185e55,Ethical,2,8,143.0,17.88,30.0,1.88
7fb7c051-b362-40f7-8efa-2f2a7dc6206a,Dark,2,16,944.0,59.0,124.0,1.75
86bc0ab8-10fd-4530-a85f-e9692caa6516,Ethical,2,12,293.0,24.42,84.0,1.58
8777ceeb-c0fe-4f78-8e86-dd5428507c32,Dark,2,11,549.0,49.91,112.0,2.27
8d479225-84cc-4d0f-b3e6-3f61a2764b26,Dark,2,9,234.0,26.0,76.0,1.67
8df5a4ae-de1e-4a38-a512-df8910505396,Dark,2,24,1367.0,56.96,124.0,1.79
9ad14b84-d581-426b-967c-9359c7b533f7,Ethical,2,13,346.0,26.62,75.0,1.85
a040f35e-2eff-400f-bcd2-ac2f4611e6da,Dark,2,9,236.0,26.22,50.0,2.22
a7f1c0d2-9e34-4b88-8c21-0fd6b2e54a90,Ethical,2,9,256.0,28.44,75.0,1.33
b9119b29-1ad9-4429-a3d5-576d7e597947,Ethical,2,10,326.0,32.6,41.0,1.7
c8171d1d-2e75-491c-be09-34bf9df581ff,Dark,2,10,310.0,31.0,100.0,1.9
c8e5acc0-ddb4-478d-ad73-5654826e7355,Dark,2,6,133.0,22.17,35.0,2.0
c99842c8-51e7-420e-b187-6cd2bbbd2242,Ethical,2,6,194.0,32.33,84.0,1.5
d6692bfa-902b-4f99-997c-e8e794a36d21,Dark,2,6,200.0,33.33,100.0,1.5
e0ce78ab-5c37-4015-a43e-0327eca7d411,Dark,2,7,177.0,25.29,88.0,1.86
e325cae0-ec05-405b-b39e-9d316f5a4c15,Dark,2,27,1468.0,54.37,148.0,1.74
e53f6300-8b8a-4b7d-9acc-007b67a1a6bc,Ethical,2,6,62.0,10.33,15.0,1.67
e7e0cf4f-0487-427f-9edd-f5f7427b1058,Dark,2,2,42.0,21.0,21.0,2.5
ee0da921-8d1f-4bfa-bef0-375bda8d63b6,Ethical,2,7,166.0,23.71,75.0,1.71
fcc80b9b-7241-4507-b3be-27e2268750fd,Ethical,2,1,13.0,13.0,13.0,1.0
fda732af-1a91-41d6-b91e-15ee3098151f,Ethical,2,4,135.0,33.75,75.0,1.25
fe0798a3-83e9-44d2-95a1-221b586c3572,Dark,2,17,846.0,49.76,148.0,1.59
